real;predicho;Equipo;;;;;;;;;;;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
revisar/cambiar motoventilador;revisar/cambiar motoventilador;810451;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;otro;810451;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;810451;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;202718;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;202719;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;0
otro;realizar muestreo-analisis fsco-qco oltc;111690;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;808069;2;0;2;0;0;9;0;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0
otro;hacer seguimiento generacion anormal de gases;111689;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;111690;2;0;2;0;0;0;2;2;0;0;8;5;0;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;809578;3;0;3;0;3;9;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;202718;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;111691;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;3;0;0;0;0;0;0
revisar/cambiar motoventilador;aplicar sikaflex 1a protecciones mecanic;809578;0;0;0;0;0;9;0;2;2;0;0;5;0;0;0;8;0;0;0;0;0;0
otro;otro;201438;2;0;2;0;0;0;0;0;0;0;0;5;0;0;0;9;0;0;0;0;0;0
otro;otro;202719;2;0;2;0;0;0;0;0;0;0;0;3;0;0;0;9;0;0;0;0;0;0
otro;otro;203342;2;2;2;0;0;0;0;0;0;0;8;3;0;0;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;808069;2;0;2;0;0;0;0;0;0;0;0;5;0;0;0;8;0;6;0;6;0;0
revisar/cambiar motoventilador;otro;118423;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;0;9;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;111689;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;0;0;0;0;0;0;0
otro;otro;809578;0;0;0;0;0;9;0;2;2;0;1;3;0;0;0;3;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;116137;3;0;3;0;0;0;0;0;0;0;2;3;0;0;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;116144;3;0;3;0;0;1;0;1;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;111691;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;1;1;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;116137;3;0;3;0;0;0;0;0;0;0;2;3;0;0;3;9;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;111690;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;0;0;0
revisar/cambiar motoventilador;otro;119234;0;0;0;0;0;9;0;9;0;0;0;2;2;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;116144;3;0;3;0;0;1;0;1;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;111690;2;0;2;0;0;0;2;2;0;0;8;5;0;0;0;0;9;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;111690;2;0;2;0;0;0;2;2;0;0;8;2;2;0;0;0;9;0;0;0;0;0
revisar/cambiar motoventilador;otro;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;809578;0;0;0;0;0;9;0;2;2;0;0;3;3;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;111689;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;0;9;0;0;0;0;0
revisar/cambiar motoventilador;otro;111691;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;201438;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;201438;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;revisar/cambiar motoventilador;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
otro;otro;119234;3;0;3;0;0;9;0;9;0;0;0;2;2;9;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;119234;3;0;3;0;0;9;0;9;0;0;0;2;2;9;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;118423;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;810449;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;119234;0;0;0;0;0;9;0;9;0;0;0;2;2;9;0;0;0;0;0;0;0;0
otro;otro;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;118423;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;201120;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;116137;3;0;3;0;0;0;0;0;0;0;2;3;0;0;3;9;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;810449;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;9;0;0;0;0;0;0
otro;realizar secado oltc;202719;2;0;2;0;0;0;0;0;0;0;0;3;0;0;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;201438;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;6;0;6;0;0
revisar/cambiar motoventilador;revisar/cambiar motoventilador;808069;3;0;3;0;0;0;0;0;0;0;2;2;0;2;0;3;0;6;0;6;0;0
revisar/cambiar motoventilador;revisar/cambiar motoventilador;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
otro;otro;116144;0;0;0;0;0;1;0;1;0;0;0;3;3;0;3;8;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;118423;0;0;0;0;0;0;0;0;0;0;8;2;0;2;0;0;9;0;0;0;0;0
otro;hacer seguimiento generacion anormal de gases;202719;2;0;2;0;0;0;0;0;0;0;0;3;0;0;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;revisar/cambiar motoventilador;111691;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;809578;0;0;0;0;0;9;0;2;2;0;0;3;3;0;0;0;0;0;0;0;0;0
otro;cambiar silica oltc;809578;0;0;0;0;0;9;0;2;2;0;0;3;3;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;809578;0;0;0;0;0;9;0;2;2;0;0;5;0;0;0;8;8;0;0;0;0;0
otro;otro;809578;0;0;0;0;0;9;0;2;2;0;1;3;0;0;0;3;0;0;0;0;0;0
otro;otro;810057;2;2;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;810057;2;2;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;810057;2;2;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;810057;2;2;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;300390;2;0;2;0;0;0;0;0;0;0;8;3;3;0;0;8;9;0;0;0;0;0
hacer seguimiento generacion anormal de gases;otro;810057;2;2;0;0;2;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;810057;2;2;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;810057;1;1;0;1;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;otro;810057;2;0;0;0;2;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;809872;3;0;0;0;3;9;0;9;0;0;1;5;0;0;0;8;0;3;0;3;0;0
hacer seguimiento generacion anormal de gases;otro;810057;2;0;2;0;2;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar muestreo-analisis fsco-qco oltc;810057;2;0;2;0;2;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;revisar/cambiar motoventilador;810057;2;0;2;0;2;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;cambiar silica oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;aplicar sikaflex 1a protecciones mecanic;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;aplicar sikaflex 1a protecciones mecanic;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;otro;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
otro;cambiar silica oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar muestreo-analisis fsco-qco oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar muestreo-analisis fsco-qco oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar muestreo-analisis fsco-qco oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;revisar/cambiar motoventilador;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar secado oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;otro;809872;0;0;0;0;0;9;0;9;0;0;1;5;0;0;0;8;0;0;0;0;0;0
otro;otro;809578;0;0;0;0;0;9;0;2;2;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar muestreo-analisis fsco-qco oltc;2005222;2;2;0;0;0;0;9;9;9;9;8;3;0;0;0;3;0;0;0;9;0;0
otro;otro;2005222;2;2;0;0;0;0;9;9;0;0;8;3;0;0;0;3;9;0;0;0;0;0
hacer seguimiento generacion anormal de gases;otro;2005222;2;2;0;0;0;0;9;9;0;0;8;3;0;0;0;3;9;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;300390;2;0;2;0;0;0;0;0;0;0;8;3;3;0;0;8;9;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;300390;2;0;2;0;0;0;0;0;0;0;8;3;3;0;0;8;9;0;0;0;0;0
hacer seguimiento generacion anormal de gases;otro;2003341;2;0;0;2;0;8;0;8;0;0;0;3;9;0;0;3;0;0;0;0;0;0
otro;cambiar silica oltc;2005222;2;2;0;0;0;0;9;9;0;0;8;3;0;0;0;3;9;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;hacer seguimiento generacion anormal de gases;202717;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;810550;0;0;0;0;0;8;0;2;2;0;9;5;9;9;0;9;9;3;0;1;0;1
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;810551;0;0;0;0;0;8;0;8;0;0;0;2;2;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;123158;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;6;0;6;0;2
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;123159;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;cambiar silica oltc;123160;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;cambiar silica oltc;202718;2;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;123158;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;123160;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;123158;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;123160;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;202455;0;0;0;0;0;9;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0
cambiar silica oltc;revisar/cambiar motoventilador;202717;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cambiar silica oltc;otro;202718;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;revisar/cambiar motoventilador;123159;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0
otro;cambiar silica oltc;809578;3;0;3;0;3;9;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0
cambiar silica oltc;otro;807717;0;0;0;0;0;9;0;9;0;0;0;2;0;0;0;2;0;9;0;9;0;0
cambiar silica oltc;aplicar sikaflex 1a protecciones mecanic;810050;0;0;0;0;0;9;0;9;0;0;2;0;0;0;0;0;0;3;0;3;0;3
otro;realizar secado oltc;202718;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;202718;3;0;3;0;0;1;0;1;0;0;0;5;0;0;0;9;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;202455;0;0;0;0;0;9;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;808998;0;0;0;0;0;9;0;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0
realizar secado oltc;revisar/cambiar motoventilador;120113;0;0;0;0;0;2;0;2;0;0;0;3;0;0;0;9;0;0;0;0;0;0
realizar secado oltc;otro;202718;3;0;3;0;0;1;0;1;0;0;0;5;0;0;0;9;0;0;0;0;0;0
cambiar silica oltc;realizar secado oltc;118095;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
cambiar silica oltc;otro;809578;0;0;0;0;0;9;0;2;2;0;0;5;0;0;0;8;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;202718;3;0;3;0;0;1;0;1;0;0;0;5;0;0;0;9;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;revisar/cambiar motoventilador;2005670;7;7;7;0;7;2;0;2;0;2;0;5;0;0;0;9;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;cambiar silica oltc;400039;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;9;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;400039;0;0;0;0;0;1;0;1;0;0;0;5;0;0;0;9;0;0;0;0;0;0
cambiar silica oltc;revisar/cambiar motoventilador;810049;0;0;0;0;0;9;0;9;0;0;1;0;0;0;0;0;0;6;0;6;0;0
cambiar silica oltc;revisar/cambiar motoventilador;810050;0;0;0;0;0;9;0;9;0;0;2;2;0;0;2;0;0;0;0;0;0;0
realizar secado oltc;otro;400039;0;0;0;0;0;1;0;1;0;0;0;2;0;0;2;9;0;3;3;3;3;3
otro;cambiar silica oltc;809578;0;0;0;0;0;9;0;2;2;0;1;3;0;0;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;cambiar silica oltc;201232;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar secado oltc;realizar muestreo-analisis fsco-qco oltc;200597;1;1;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar secado oltc;realizar muestreo-analisis fsco-qco oltc;202718;0;0;0;0;0;1;0;1;0;0;0;5;0;0;0;9;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;202455;0;0;0;0;0;9;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;808069;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;3;0;6;0;6;0;0
cambiar silica oltc;otro;119233;0;0;0;0;0;9;0;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0
otro;hacer seguimiento generacion anormal de gases;202455;0;0;0;0;0;9;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;2005480;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar secado oltc;revisar/cambiar motoventilador;400039;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0
cambiar silica oltc;otro;123167;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;revisar/cambiar motoventilador;118095;0;0;0;0;0;1;0;1;0;0;0;5;0;0;0;9;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;2004555;0;0;0;0;0;2;0;2;0;0;0;5;0;0;0;9;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;revisar/cambiar motoventilador;2008032;0;0;0;0;0;2;0;2;0;0;9;5;9;9;0;8;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;hacer seguimiento generacion anormal de gases;2008033;0;0;0;0;0;2;0;2;0;0;9;5;9;9;0;8;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;201583;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;123167;0;0;0;0;0;1;0;1;0;0;2;3;0;0;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;123168;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0
